Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Male,FBI,Off-campus (own),Pocket money from parents,RM 100 - RM 500,5,5,5,5,5,Yes,Yes,Always,Always,Always,Always,Always
21,Male,FSDK,Live with parents/relatives,Other,Above RM 600,4,3,3,4,3,Yes,Yes,Sometimes,Always,Always,Sometimes,Always
21,Female,Other,On-campus (student accommodation),Pocket money from parents,Above RM 600,3,3,5,2,4,Yes,Yes,Always,Sometimes,Sometimes,Always,Always
21,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,3,3,2,3,5,Yes,Yes,Always,Sometimes,Sometimes,Never,Never
21,Male,FBKT,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,2,2,2,1,2,Yes,Yes,Always,Sometimes,Always,Always,Sometimes
18,Male,FHPK,Live with parents/relatives,A part time job,RM 100 - RM 500,2,3,2,4,5,Yes,Yes,Always,Always,Sometimes,Sometimes,Always
21,Female,FKP,On-campus (student accommodation),Other family members,Above RM 600,5,5,5,5,1,Yes,Yes,Always,Always,Never,Sometimes,Always
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,1,1,5,1,3,Yes,Yes,Always,Always,Always,Always,Always
21,Female,Other,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,3,3,4,2,3,Yes,Yes,Sometimes,Never,Sometimes,Never,Never
21,Female,FBI,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,2,3,5,1,3,Yes,Yes,Always,Never,Sometimes,Never,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,1,5,1,4,Yes,Yes,Always,Sometimes,Sometimes,Always,Never
21,Male,Other,Off-campus (own),A part time job,Above RM 600,4,4,5,3,4,Yes,Yes,Always,Sometimes,Sometimes,Always,Always
21,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,3,3,3,3,3,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FSDK,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,4,3,5,2,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Never
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,1,1,5,1,5,Yes,Yes,Always,Always,Always,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,4,2,1,3,Yes,Yes,Always,Sometimes,Always,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,1,3,3,1,3,Yes,Yes,Sometimes,Sometimes,Always,Sometimes,Sometimes
